Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,84.4335841028867,-1.67939986132453E-13,2.5,0,0,0,4484413.02210824,12727567802.556,-2.91436447932832E-05,5.4931635034149E-07,7044982325.57827,2.10804263755649E-08,19753865073.8754,0,0,0,0,0,0,package://10_22outside/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://10_22outside/meshes/base_link.STL,,围墙-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Empty_Link,81.2001557000657,6.33535012468957E-14,6.47019507806598,0,0,0,15188176,1574790314.05357,-2.06198995783421E-06,-3.95609131451899E-07,1574790314.05357,2.77283463914843E-07,1487195938.02667,0,0,0,0,0,0,package://10_22outside/meshes/Empty_Link.STL,0.447058823529412,0.729411764705882,0.0509803921568627,1,0,0,0,0,0,0,package://10_22outside/meshes/Empty_Link.STL,,楼房3-12;楼房3-9;楼房3-6;楼房3-3;楼房3-2;楼房3-1;楼房3-10;楼房3-7;楼房3-4;楼房3-11;楼房3-8;楼房3-5;方柱-7;方柱-4;方柱-11;方柱-13;方柱-3;方柱-6;方柱-9;方柱-1;方柱-2;方柱-10;方柱-8;方柱-5;方柱-12;方柱-14,坐标系1,Axis_fixed,fixed,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
